Hex Offset,Binary,,
0,111010000000000000000000,,
2,111010000000000000000010,,
4,111010000000000000000100,,
6,111010000000000000000110,,
8,111010000000000000001000,,
A,111010000000000000001010,,
C,111010000000000000001100,,
E,111010000000000000001110,,
10,111010000000000000010000,,
12,111010000000000000010010,,
14,111010000000000000010100,,
16,111010000000000000010110,,
18,111010000000000000011000,,
1A,111010000000000000011010,,
1C,111010000000000000011100,,
1E,111010000000000000011110,,
20,111010000000000000100000,,
22,111010000000000000100010,,
24,111010000000000000100100,,
26,111010000000000000100110,,
28,111010000000000000101000,,
2A,111010000000000000101010,,
2C,111010000000000000101100,,
2E,111010000000000000101110,,
30,111010000000000000110000,,
32,111010000000000000110010,,
34,111010000000000000110100,,
36,111010000000000000110110,,
38,111010000000000000111000,,
3A,111010000000000000111010,,
3C,111010000000000000111100,,
3E,111010000000000000111110,,
40,111010000000000001000000,,
42,111010000000000001000010,,
44,111010000000000001000100,,
46,111010000000000001000110,,
48,111010000000000001001000,,
4A,111010000000000001001010,,
4C,111010000000000001001100,,
4E,111010000000000001001110,,
,,,
Amiga AUTOCONFIG,,,
base address = $E80000.,,,
